INDY PASS ROSTER,,"DISCOUNT (no included tickets) at Indy Allied partners (Mont Ripley, Cherry Peak, King Pine)
DAYS SHARED BETWEEN: Mountain High East/West | Loveland and Loveland Valley | Björkliden and Riksgränsen",,,,,,,,,,,,,,,,,,,,,,,,,"PASS ACCESS KEY: 2/3=2/3 Days | S=Shared Days | 
B=Blackouts Apply | R=Reservations required | 
,Takasu Snow Park,2024,"3,117 ","5,085 ","1,969 ",247,,Independent,,,1,,,,,,3,,,,,,,,1,5,2,2,,,Japan (Gifu),,,Snowriver: Black River (UP),2026,"1,185 ","1,675 ",490 ,170,204,Midwest Family Ski Resorts,,,,,,,,,,,4,,,,1,,5,"7, S","5, B, S","1-4, B, S",,U.S. - Midwest,$849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Vermont,Mount Snow,2019,"1,900 ","3,600 ","1,700 ",601,150,Vail Resorts,,,,,,2,,4,,5,2,,,,1,5,19,U,U,UB,UMB,,,,,,1-7,1-7,,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Washigatake,2024,"2,986 ","4,429 ","1,444 ",136,,Independent,,,,,,,,,3,,,2,,,,,1,6,2,2,,,Japan (Gifu),,,Snowriver: Jackson Creek (UP),2026,"1,214 ","1,752 ",538 ,230,204,Midwest Family Ski Resorts,,,,,,1,,,,,2,1,,,1,1,6,"7, S","5, B, S","1-4, B, S",,U.S. - Midwest,$849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okemo,2018,"1,144 ","3,344 ","2,200 ",667,120,Vail Resorts,,,,,,2,,4,5,2,,,,1,,6,20,U,U,UB,UMB,,,,,,1-7,1-7,,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White Pia Takasu,2024,"3,100 ","4,610 ","1,509 ",146,,Independent,,,,,,,,,2,,,2,,,,,1,5,2,2,,,Japan (Gifu),,,The Highlands ,2018,805 ,"1,318 ",513 ,435,140,Boyne Resorts,,,,,,1,,1,3,1,,,,,1,2,9,7,5B,"1-4, B, S",,U.S. - Midwest,$875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stowe,2017,"1,265 ","3,625 ","2,360 ",485,314,Vail Resorts,,2,,,,1,,3,1,1,2,,,,,2,12,U,UB,10B,5MB,,,,,,1-7,1-7,,U,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Gunma),Hodaigi,2025,"2,723 ","4,593 ","1,870 ",,170,Independent,,,,,,,,,2,,,5,,,,,1,8,2,2,,,Japan (Gunma),,U.S. - Minnesota,Buck Hill,2025,919 ,"1,225 ",306 ,45,60,Independent,,,,,,,,,2,1,,,,,4,2,9,2B,,,,U.S. - Midwest,$495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Washington,Stevens Pass,2018,"4,061 ","5,845 ","1,784 ","1,125",460,Vail Resorts,,,,,,,,4,2,3,1,,,,,2,12,U,U,,,,,,,,1-7,1-7,,U,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palcall Tsumagoi,2024,"4,495 ","6,890 ","2,395 ",,,Independent,,,1,,,,,,1,,,1,,,,,1,5,2,2,,,Japan (Gunma),,,Giants Ridge,2026,"1,472 ","1,972 ",500 ,202,62,Independent,,,,,,,,1,1,1,2,,,,,2,7,2B,,,,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Wilmot,2016,760 ,960 ,200 ,120,48,Vail Resorts,,,,,,,,,3,1,2,,,,2,2,10,U,U,,,,,,,,1-7,1-7,1-7,U,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Hokkaido),Canmore Ski Village,2025,689 ,"1,496 ",807 ,,180,Independent,,,,,,,,,1,,,1,,,,,,2,2,2,,,Japan (Hokkaido),,,Lutsen Mountains,2026,863 ,"1,688 ",825 ,"1,000",120,Midwest Family Ski Resorts,,1,,,,2,,,,,3,,,,,1,7,7,"5, B","1-4, B, S",,U.S. - Midwest,$849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kamui Ski Links,2023,492 ,"2,464 ","1,972 ",247,315,Independent,,,1,,,,,,,,,5,,,,,,6,2,2,,,Japan (Hokkaido),,,Wild Mountain,2025,813 ,"1,113 ",300 ,100,50,Independent,,,,,,,,,4,,,,,,4,1,9,2B,,,,U.S. - Midwest,$334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kiroro,2023,"1,870 ","3,871 ","2,001 ",297,709,Independent,,,1,,,,,1,4,,,3,,,,,,10,2,2,,,Japan (Hokkaido),,U.S. - Montana,Big Sky,2018,"6,800 ","11,166 ","4,366 ","5,850",291,Boyne Resorts,1,2,,,2,2,,4,3,9,4,,,3,1,8,39,7,5B,"1-4, B, S",2,U.S. - West,"$2,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nayoro Piyashiri,2024,633 ,"2,208 ","1,575 ",,,Independent,,,,,,,,,,,,4,,,,,,4,2,2,,,Japan (Hokkaido),,U.S. - New Hampshire,Cranmore,2025,800 ,"2,000 ","1,200 ",170,120,Fairbank Group,,,,,,,,1,1,2,1,,,,,2,7,2B,,,,U.S. - East,$869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pippu,2023,820 ,"1,804 ",984 ,,,Independent,,,,,,,,,,,,5,,,,1,,7,2,2,,,Japan (Hokkaido),,,Loon,2018,950 ,"3,050 ","2,100 ",403,160,Boyne Resorts,,1,1,,1,,,3,2,,4,,,,,3,15,"7, R","5, R, B","1-4, B, S",,U.S. - East,"$1,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yubari (Mount Racey),2023,978 ,"2,303 ","1,325 ",,315,Independent,,,1,,,,,,2,,,,,,,,,5,2,2,,,Japan (Hokkaido),,U.S. - New Mexico,Taos Ski Valley,2018,"9,350 ","12,450 ","3,100 ","1,294",300,Independent,,,1,,,,,2,2,4,1,,,,,3,13,7,5B,"1-4, B, S",2,U.S. - West,"$1,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Iwate),Amihari,2024,"2,100 ","4,429 ","2,329 ",143,,Independent,,,,,,,,,,,,4,,,,,,4,2,2,,,Japan (Iwate),,U.S. - Oregon,Mount Bachelor,2020,"5,700 ","9,065 ","3,365 ","4,323",387,Powdr,,,,,,1,,7,1,3,,,,,,3,15,7,5B,"1-4, B, S",,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geto Kogen,2021,"2,100 ","3,510 ","1,411 ",,591,,,,2,,,,,,1,,,2,,,,,,5,2,2,,,Japan (Iwate),,U.S. - Pennsylvania,Blue Mountain PA,2023,325 ,"1,407 ","1,082 ",171,33,Peregrine Hospitality,,,,,,2,,1,,1,1,,,,,7,12,7,5B,"1-4, B, S",,U.S. - East,$699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Okunakayama Kogen,2021,"2,133 ","3,340 ","1,207 ",,,Independent,,,,,,,,,,,,5,,,,,,5,2,2,,,Japan (Iwate),,,Camelback,2023,"1,252 ","2,079 ",827 ,166,50,Peregrine Hospitality,,,,,,1,,1,1,3,3,,,,,4,13,7,5B,"1-4, B, S",,U.S. - East,$399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shimokura-Panorama (Hachimantai Resort),2021,"1,902 ","3,707 ","1,805 ",,320,Nippon Cable,,,,,,,,,1,,1,5,,,,,,7,2,2,,,Japan (Iwate),,U.S. - Utah,Alta,2018,"8,530 ","11,068 ","2,538 ","2,614",526,Independent,,,,,,1,,3,1,1,1,,,1,1,2,11,7S,,,2,U.S. - West,"$1,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Miyagi),Onikoube,2026,"1,115 ","3,461 ","2,346 ",150,80,Independent,,,,,,,,,,,,6,,,,,,6,2,2,,,Japan (Miyagi),,,Brighton,2018,"8,755 ","10,500 ","1,745 ","1,050",502,Boyne Resorts,,,,,,1,,3,1,1,,,,,,2,8,7,5B,"1-4, B, S",,U.S. - West,"$1,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Nagano),Kurohime Kogen Snow Park,2025,"2,526 ","3,937 ","1,411 ",,251,Independent,,,,,,,,,,1,,5,,,,,2,8,2,2,,,Japan (Nagano),,,Deer Valley,2018,"6,530 ","9,570 ","3,040 ","4,300",294,Alterra ,,2,,,,2,,21,1,5,1,,,1,,8,41,7,,,,U.S. - West,"$3,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tangram Ski Circus (Tangram Madarao),2024,"2,625 ","4,331 ","1,706 ",124,,Independent,,,,,,,,,,2,,3,,,,,2,7,2,2,,,Japan (Nagano),,,Snowbasin,2022,"6,316 ","9,318 ","3,002 ","3,000",324,Holding Family,1,2,,,,3,,3,,1,,,,,1,2,13,7,,,2,U.S. - West,"$1,279",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Togakushi,2023,"3,937 ","5,741 ","1,804 ",146,299,Independent,,,,,,,,,2,,,2,,,,,,7,2,2,,,Japan (Nagano),,,Snowbird,2018,"7,760 ","11,000 ","3,240 ","2,500",498,Powdr,1,,,,,,,6,2,,2,,,,,3,14,7S,5B,,2,U.S. - West,"$1,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Niigata),Cupid Valley Ski Resort,2024,"1,411 ","3,150 ","1,739 ",77,,Independent,,,,,,,,,,2,,1,,,,,,3,2,2,,,Japan (Niigata),,,Solitude,2018,"7,994 ","10,035 ","2,041 ","1,200",438,Alterra ,,,,,,1,,3,2,1,1,,,,,1,9,U,U,"1-4, B, S",,U.S. - West,"$1,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maiko Snow Resort,2024,853 ,"3,018 ","2,165 ",,350,Independent,,,1,,,,,,4,,,4,,,,,,12,2,2,,,Japan (Niigata),,U.S. - Vermont,Killington,2018,"1,165 ","4,142 ","2,977 ","1,509",230,Phill Gross,,2,,,,2,,4,6,1,1,,,1,,3,20,7S,5SB,"1-4, B, S",,U.S. - East,"$1,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muica Snow Resort,2024,"1,142 ","2,454 ","1,312 ",244,394,Independent,,,,,,,,,,1,,3,,,,,1,5,2,2,,,Japan (Niigata),,,Pico,2018,"2,000 ","3,967 ","1,967 ",468,230,Phill Gross,,,,,,,,2,,2,,,,,1,2,7,7S,5SB,"1-4, B, S",,U.S. - East,$579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ninox Snow Park,2024,"1,040 ","1,748 ",708 ,49,,Independent,,,,,,,,,,1,,1,,,,,,2,2,2,,,Japan (Niigata),,,Stratton,2018,"1,872 ","3,875 ","2,003 ",670,180,Alterra ,,1,,,,4,,1,2,1,1,,,,,4,14,U,UB,"1-4, B, S",,U.S. - East,"$1,389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yuzawa Nakazato,2024,"1,503 ","2,303 ",801 ,326,531,Independent,,,,,,,,,1,,,5,,,,,1,7,2,2,,,Japan (Niigata),,,Sugarbush,2018,"1,483 ","4,083 ","2,600 ",581,267,Alterra ,,,,,,,,5,6,1,1,1,,,,3,17,U,UB,"1-4, B, S",,U.S. - East,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. - Alaska,Arctic Valley,2022,"2,525 ","3,898 ","1,373 ",320,250,Independent,Public w/Aerial Lifts,,,,,,,,,,,2,1,,,1,,4,2,2,,,U.S. - West,,U.S. - Washington,Crystal Mountain WA,2018,"4,400 ","7,002 ","2,602 ","2,300",348,Alterra ,,1,,,,2,,2,1,2,2,,,,,1,11,U,5B,"1-4, B, S",,U.S. - West,"$1,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eaglecrest,2019,"1,144 ","2,545 ","1,401 ",640,350,Independent,Public w/Aerial Lifts,,,,,,,,,,,4,,,,,,4,2,2,,$745.20,U.S. - West,,,Snoqualmie: Alpental,2018,"3,140 ","5,420 ","2,280 ",875,428,Boyne Resorts,,,,,,,,1,,3,1,,,,,1,6,"7, S, R","5, S, R, B","1-4, B, S",,U.S. - West,$879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hilltop,2025,492 ,786 ,294 ,35,76,Independent,Public w/Aerial Lifts,,,,,,,,,,1,,,,1,,1,3,2,2,,,U.S. - West,,,Snoqualmie: Summit,2018,"2,610 ","3,865 ","1,255 ","1,119",,Boyne Resorts,,,,,,,,2,5,3,5,,,,,4,19,"7, S, R","5, S, R, B","1-4, B, S",,U.S. - West,$709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
